Word,Singular Frequency,Plural Frequency,Mean AoA,SD AoA
man,4.97,4.28,3.11,1.24
woman,4.34,3.99,4.95,2.19
child,3.91,3.95,5.15,1.7
foot,3.52,3.79,3.44,1.38
tooth,2.75,3.38,3.61,1.09
mouse,2.99,2.52,4.94,1.76
goose,2.82,1.91,5.15,2.21
leaf,2.42,3.36,4.6,2.37
wolf,3.01,2.48,4.5,1.79
wife,4.25,2.9,5.67,3.2
knife,3.37,2.54,4.15,1.8
half,4,1.75,5.45,1.77
snowman,1.99,0.7,3.47,0.9
policeman,2.77,2.3,4.44,2.01
mailman,2.17,1.04,4.72,1.6
newsman,1.32,1.2,5.72,2.22
postman,2.11,0.77,5.22,2.1
fireman,2.17,2.04,5.05,1.22
fisherman,2.34,2.04,5.16,1.77